age_group,rating,user_count,user_count_total,percentage
26-35,1,2,12509,0.01598848828843233
26-35,2,4,12509,0.03197697657686466
26-35,3,22,12509,0.17587337117275562
26-35,4,139,12509,1.1111999360460467
26-35,5,691,12509,5.52402270365337
26-35,6,2065,12509,16.508114157806382
26-35,7,3629,12509,29.011111999360462
26-35,8,4124,12509,32.96826285074746
26-35,9,1483,12509,11.855464065872571
26-35,10,350,12509,2.7979854504756574
18-25,1,0,2454,0.0
18-25,2,1,2454,0.040749796251018745
18-25,3,2,2454,0.08149959250203749
18-25,4,15,2454,0.6112469437652812
18-25,5,84,2454,3.4229828850855744
18-25,6,301,2454,12.265688671556642
18-25,7,635,2454,25.876120619396904
18-25,8,917,2454,37.36756316218418
18-25,9,408,2454,16.625916870415647
18-25,10,91,2454,3.7082314588427057
36-45,1,0,3306,0.0
36-45,2,1,3306,0.030248033877797946
36-45,3,4,3306,0.12099213551119178
36-45,4,24,3306,0.7259528130671506
36-45,5,153,3306,4.627949183303085
36-45,6,486,3306,14.700544464609798
36-45,7,927,3306,28.039927404718696
36-45,8,1174,3306,35.51119177253479
36-45,9,439,3306,13.278886872353295
36-45,10,98,3306,2.9643073200241985
56-65,1,0,1049,0.0
56-65,2,0,1049,0.0
56-65,3,1,1049,0.09532888465204957
56-65,4,7,1049,0.667302192564347
56-65,5,32,1049,3.0505243088655862
56-65,6,184,1049,17.54051477597712
56-65,7,276,1049,26.31077216396568
56-65,8,328,1049,31.26787416587226
56-65,9,181,1049,17.25452812202097
56-65,10,40,1049,3.813155386081983
Under 18,1,0,886,0.0
Under 18,2,0,886,0.0
Under 18,3,0,886,0.0
Under 18,4,8,886,0.9029345372460496
Under 18,5,31,886,3.4988713318284423
Under 18,6,103,886,11.62528216704289
Under 18,7,228,886,25.733634311512414
Under 18,8,300,886,33.86004514672686
Under 18,9,153,886,17.268623024830703
Under 18,10,63,886,7.1106094808126405
46-55,1,0,1977,0.0
46-55,2,0,1977,0.0
46-55,3,0,1977,0.0
46-55,4,24,1977,1.2139605462822458
46-55,5,88,1977,4.451188669701568
46-55,6,262,1977,13.25240263024785
46-55,7,580,1977,29.337379868487606
46-55,8,673,1977,34.04147698533131
46-55,9,290,1977,14.668689934243803
46-55,10,60,1977,3.0349013657056148
65+,1,0,387,0.0
65+,2,0,387,0.0
65+,3,0,387,0.0
65+,4,4,387,1.03359173126615
65+,5,19,387,4.909560723514212
65+,6,51,387,13.178294573643413
65+,7,120,387,31.007751937984494
65+,8,122,387,31.52454780361757
65+,9,57,387,14.728682170542637
65+,10,14,387,3.6175710594315245
